Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
265,15995,SUPERSPORT 950 S WHITE SILK FAIRING,Ducatti Sportbike,2022
984,16799,MULTISTRADA V2 S STREET GREY,Ducatti Sportbike,2022
73,19995,DIAVEL 1260 DARK STEALTH 1260 S,Ducatti Sportbike,2022
0,16500,SUPERBIKE PANIGALE V2,Ducatti Sportbike,2022
238,20000,STREETFIGHTER V4 S,Ducatti Sportbike,2021
4660,9500,MONSTER + 937,Ducatti Sportbike,2021
9521,17995,MULTISTRADA 1260 ENDURO,Ducatti Sportbike,2019
3014,8500,SCRAMBLER 1100,Ducatti Standard,2019
731,22950,PANIGALE V4 S,Ducatti Sportbike,2019
9942,13000,MULTISTRADA 1200 ENDURO,Ducatti Sport Touring,2017
5030,7000,SCRAMBLER® ICON,Ducatti Standard,2016
1257,15500,MULTISTRADA 1200 PIKES PEAK,Ducatti Dual Sport,2016
0,9700,DIAVEL,Ducatti Cruiser,2013
6144,8490,DIAVEL CROMO,Ducatti Cruiser,2013
9069,12595,HYPERMOTARD 1100 EVO SP,Ducatti Super Moto,2012
11558,9800,1198,Ducatti Sportbike,2010
97,32250,MH900 E,Ducatti Sportbike,2002
2,21495,XDIAVEL DARK,Ducatti Cruiser,2023
1,15595,MONSTER SP,Ducatti Sportbike,2023
4,13999,SCRAMBLER URBAN MOTARD,Ducatti Standard,2022
618,11300,SCRAMBLER DESERT SLED,Ducatti Dual Sport,2022
1740,22250,STREETFIGHTER V4 S,Ducatti Sportbike,2022
738,17495,STREETFIGHTER V4,Ducatti Sportbike,2021
621,16250,SUPERBIKE PANIGALE V2,Ducatti Sportbike,2021
4618,10500,MONSTER 821,Ducatti Sportbike,2020
5220,12995,MULTISTRADA 1200 S TOURING,Ducatti Sport Touring,2017
22121,9000,MULTISTRADA 1200 S,Ducatti Sport Touring,2015
820,20999,1199 PANIGALE R,Ducatti Sportbike,2013
4715,20000,PANIGALE 1199 R,Ducatti Sportbike,2013
1833,4350,MONSTER 695,Ducatti Cruiser,2008
1522,24300,1098S TRICOLORE,Ducatti Sportbike,2007
2,17095,DESERTX,Ducatti Standard,2023
2,17995,STREETFIGHTER V2,Ducatti Sportbike,2023
0,15595,MONSTER SP LIVERY 821 STRIPE,Ducatti Sportbike,2023
0,18295,DESERTX RR22 LIVERY,Ducatti Dual Sport,2023
839,32000,STREETFIGHTER V4 SP,Ducatti Sportbike,2022
0,26495,MULTISTRADA V4S CUSTOM GRAPHICS / SPOKED WHEELS V4 S,Ducatti Sportbike,2022
186,21925,PANIGALE V4,Ducatti Sportbike,2022
2148,15250,SUPERSPORT 950 S,Ducatti Sport Touring,2021
2361,10000,MONSTER + 937,Ducatti Standard,2021
4163,21900,DIAVEL 1260 S,Ducatti Sportbike,2021
294,39900,PANIGALE V4 R,Ducatti Sportbike,2020
1174,19999,PANIGALE V4 S,Ducatti Sportbike,2020
1135,18500,XDIAVEL S,Ducatti Cruiser,2019
4016,8999,SCRAMBLER 1100 SPECIAL,Ducatti Sportbike,2018
474,14999,HYPERMOTARD 939 SP,Ducatti Super Moto,2018
1133,24500,PANIGALE V4 S,Ducatti Sportbike,2018
4319,12500,MULTISTRADA 1200 S,Ducatti Sport Touring,2015
11495,13500,999,Ducatti Sportbike,2005
2,18295,PANIGALE V2,Ducatti Sportbike,2023
1,9195,SCRAMBLER ICON DARK,Ducatti Sportbike,2023
106,14500,MONSTER SP,Ducatti Standard,2023
