Mileage_$,Price_$,Bike,Type_of_Bike,Used_Time
0.621371192,5369,INT650,Royal Enfield Cruiser,2022
0,6799,INT650,Royal Enfield Cruiser,2022
0.621371192,5825,INT650,Royal Enfield Cruiser,2022
1.864113577,6199,INT650,Royal Enfield Cruiser,2022
3.106855961,6199,INT650,Royal Enfield Cruiser,2022
0,5999,INT650,Royal Enfield Cruiser,2022
0.621371192,6699,INT650,Royal Enfield Cruiser,2022
1253.927066,4991,INT650 RAVISHING RED,Royal Enfield Standard,2021
0,5574,METEOR 350,Royal Enfield Standard,2023
0,6274,HIMALAYAN ABS,Royal Enfield Dual Sport,2023
0,5474,METEOR 350,Royal Enfield Standard,2023
0,5874,SCRAM 411,Royal Enfield Dual Sport,2023
0,6924,INT 650,Royal Enfield Standard,2023
0,6149,INT650 CANYON RED,Royal Enfield Standard,2023
0,4599,CLASSIC 350 HALCYON GREEN,Royal Enfield Classic / Vintage,2023
0,7149,CONTINENTAL GT 650 MR.CLEAN BASE,Royal Enfield Standard,2023
391.4638511,6199,INT650,Royal Enfield Standard,2022
0,4499,CLASSIC 350 HALCYON BLACK,Royal Enfield Standard,2022
0,4949,HIMALAYAN GRAVEL GREY,Royal Enfield Dual Sport,2022
0,4949,HIMALAYAN GRAVEL GREY,Royal Enfield Standard,2022
1.864113577,3999,CLASSIC 350 HALCYON GREY,Royal Enfield Standard,2022
0,5999,CONTINENTAL GT BRITISH RACING GREEN,Royal Enfield Standard,2022
2.485484769,4649,HIMALAYAN GRAVEL GREY,Royal Enfield Sportbike,2022
377.1723137,4999,HIMALAYAN,Royal Enfield Dual Sport,2021
889.8035473,4299,HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2021
1659.061083,6999,CLASSIC 500 ARMY,Royal Enfield Cruiser,2018
3.106855961,4699,METEOR 350,Royal Enfield Cruiser,2023
0,4799,CLASSIC 350 CHROME RED,Royal Enfield Standard,2023
0,6349,INT650 DOWNTOWN DRAG,Royal Enfield Standard,2023
6.213711922,6349,CONTINENTAL GT 650,Royal Enfield Standard,2023
0.621371192,4830,HIMALAYAN,Royal Enfield Standard,2022
0.621371192,4935,HIMALAYAN,Royal Enfield Standard,2022
0.621371192,5399,INT650 CANYON RED,Royal Enfield Standard,2022
0,5299,HIMALAYAN MIRAGE SILVER,Royal Enfield Dual Sport,2022
0,5099,SCRAM 411 GRAPHITE BLUE,Royal Enfield Standard,2023
0,4899,METEOR 350 SUPERNOVA BLUE,Royal Enfield Standard,2023
0,5099,SCRAM 411 SKYLINE BLUE,Royal Enfield Standard,2023
0,5099,SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
0,5099,SCRAM 411 SILVER SPIRIT,Royal Enfield Standard,2023
0,5299,HIMALAYAN PINE GREEN,Royal Enfield Dual Sport,2022
0.621371192,6199,CONTINENTAL GT BRITISH GREEN,Royal Enfield Standard,2022
0,6499,CONTINENTAL GT MR. CLEAN,Royal Enfield Standard,2022
0,5999,CONTINENTAL GT DUX DELUXE,Royal Enfield Standard,2022
0.621371192,5999,INT650 CANYON RED,Royal Enfield Standard,2022
0,5899,CONTINENTAL GT ROCKER RED,Royal Enfield Standard,2022
1634.206236,5495,INT650 BAKER EXPRESS,Royal Enfield Standard,2021
3.728227153,6349,CONTINENTAL GT 650,Royal Enfield Cruiser,2023
0,4899,METEOR 350,Royal Enfield Cruiser,2023
1.864113577,4899,METEOR 350,Royal Enfield Cruiser,2023
0,6649,CONTINENTAL GT 650,Royal Enfield Cruiser,2023
0,7149,CONTINENTAL GT 650,Royal Enfield Cruiser,2023
0.621371192,6349,CONTINENTAL GT 650,Royal Enfield Cruiser,2023
0.621371192,6649,CONTINENTAL GT 650,Royal Enfield Cruiser,2023
6.213711922,7149,CONTINENTAL GT 650,Royal Enfield Cruiser,2023
0,7199,CONTINENTAL GT 650,Royal Enfield Cruiser,2023
155.3427981,6349,CONTINENTAL GT 650,Royal Enfield Cruiser,2023
0,6899,CONTINENTAL GT 650,Royal Enfield Cruiser,2023
3.106855961,4799,CLASSIC 350,Royal Enfield Standard,2023
0,5449,HIMALAYAN ROCK RED,Royal Enfield Standard,2023
4.970969538,5550,HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2023
0,5449,HIMALAYAN GRAVEL GREY,Royal Enfield Dual Sport,2023
0,5099,SCRAM 411 GRAPHITE YELLOW,Royal Enfield Standard,2023
1.864113577,5449,HIMALAYAN GRAVEL GREY,Royal Enfield Standard,2023
4.970969538,5550,HIMALAYAN GRAVEL GREY,Royal Enfield Standard,2023
0,4799,CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2023
1.864113577,4799,CLASSIC 350 CHROME RED,Royal Enfield Standard,2023
0,5449,HIMALAYAN LAKE BLUE,Royal Enfield Dual Sport,2023
0.621371192,5099,SCRAM 411 GRAPHITE BLUE,Royal Enfield Standard,2023
1.242742384,4799,METEOR 350 SUPERNOVA BLUE,Royal Enfield Standard,2023
0,6199,CONTINENTAL GT ROCKER RED,Royal Enfield Standard,2022
0,6499,CONTINENTAL GT 650 TWIN,Royal Enfield Standard,2022
0,4499,CLASSIC 350,Royal Enfield Standard,2022
0,5299,HIMALAYAN,Royal Enfield Standard,2022
0,5699,INT650 VENTURA BLUE,Royal Enfield Standard,2022
0.621371192,6699,INT650 MARK 2,Royal Enfield Standard,2022
4.970969538,4799,HIMALAYAN PINE GREEN,Royal Enfield Dual Sport,2022
0.621371192,6499,CONTINENTAL GT VENTURA STORM,Royal Enfield Standard,2022
4.970969538,4299,HIMALAYAN PINE GREEN,Royal Enfield Dual Sport,2022
0,4499,CLASSIC 350 HALCYON GREEN,Royal Enfield Standard,2022
0.621371192,4699,CLASSIC 350 CHROME RED,Royal Enfield Standard,2022
6.213711922,4499,CLASSIC 350 REBORN,Royal Enfield Classic / Vintage,2022
791.0055277,4995,CONTINENTAL GT 650,Royal Enfield Cruiser,2021
1938.67812,4899,METRO 350,Royal Enfield Standard,2021
1350.239601,3999,HIMALAYAN SLEET GREY,Royal Enfield Standard,2021
2967.047443,4799,HIMALAYAN SNOW WHITE,Royal Enfield Standard,2021
1.864113577,5449,HIMALAYAN,Royal Enfield Standard,2023
1.864113577,6149,INT650,Royal Enfield Cruiser,2023
3.106855961,6149,INT650,Royal Enfield Cruiser,2023
31.6899308,6149,INT650,Royal Enfield Cruiser,2023
0.621371192,6149,INT650,Royal Enfield Cruiser,2023
0.621371192,6149,INT650,Royal Enfield Cruiser,2023
1.864113577,6349,CONTINENTAL GT BASE,Royal Enfield Standard,2023
1.864113577,5099,SCRAM 411 BASE,Royal Enfield Standard,2023
1.864113577,5099,SCRAM 411 BASE,Royal Enfield Standard,2023
1.864113577,6849,INT650 MARK 2,Royal Enfield Standard,2023
3.106855961,5099,SCRAMBLER 411,Royal Enfield Dual Sport,2023
3.106855961,5099,SCRAMBLER 411,Royal Enfield Standard,2023
3.106855961,6649,CONTINENTAL GT65 BASE,Royal Enfield Standard,2023
6.213711922,4799,CLASSIC 350 HALCYON GREEN,Royal Enfield Standard,2023
4.970969538,5550,HIMALAYAN MIRAGE SILVER,Royal Enfield Standard,2023
6.213711922,5099,SCRAM 411 GRAPHITE RED,Royal Enfield Standard,2023
6.213711922,5449,HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2023
6.213711922,5099,SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
0,6649,CONTINENTAL GT 650 DUX DELUXE BASE,Royal Enfield Standard,2023
6.213711922,5099,SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
18.64113577,4995,SCRAM 411 GRAPHITE RED,Royal Enfield Standard,2023
6.213711922,4799,CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2023
0,5099,SCRAM 411 SKYLINE BLUE,Royal Enfield Standard,2023
0,5099,SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
3.106855961,4799,METEOR 350,Royal Enfield Standard,2023
0.621371192,4699,METEOR 350 FIREBALL YELLOW,Royal Enfield Standard,2023
0,4899,SCRAM 411,Royal Enfield Dual Sport,2023
3424.37664,5988,INTERCEPTOR 650,Royal Enfield Cruiser,2022
0,6099,INT650,Royal Enfield Cruiser,2022
0.621371192,5999,INT650,Royal Enfield Cruiser,2022
0,5999,INT650,Royal Enfield Cruiser,2022
3.106855961,5495,INT650,Royal Enfield Cruiser,2022
0,4599,CLASSIC 350,Royal Enfield Standard,2022
0,6199,INT650,Royal Enfield Standard,2022
0,6999,CONTINENTAL GT 650 TWIN,Royal Enfield Standard,2022
3.106855961,5299,HIMALAYAN,Royal Enfield Dual Sport,2022
0,6199,CONTINENTAL GT ROCKER RED,Royal Enfield Standard,2022
0.621371192,6499,CONTINENTAL GT DUX DELUXE,Royal Enfield Standard,2022
1180.605265,4950,HIMALAYAN BASE,Royal Enfield Dual Sport,2022
0,4599,CLASSIC 350 DARK STEALTH BLACK,Royal Enfield Standard,2022
0.621371192,5299,HIMALAYAN MIRAGE SILVER,Royal Enfield Dual Sport,2022
0.621371192,6999,CONTINENTAL GT MR. CLEAN,Royal Enfield Standard,2022
0,5299,HIMALAYAN GRANITE BLACK,Royal Enfield Dual Sport,2022
6.213711922,4799,HIMALAYAN,Royal Enfield Standard,2022
