Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
0,8599,250 XC,KTM Dirt Bike,2023
7,9150,FREERIDE E-XC,KTM Sportbike,2022
0,8599,250 XC TPI XC-W TPI,KTM Dirt Bike,2022
0,10499,890 DUKE GP,KTM Sportbike,2022
0,4799,RC 390,KTM Sportbike,2022
0,8999,450 XC-F,KTM Dirt Bike,2022
0,17400,890 ADVENTURE R,KTM  Dual Sport,2022
1218,4998,ADVENTURE 390,KTM Sport Touring,2020
11185,13500,1090 ADVENTURE R,KTM Dual Sport,2018
0,8997,450 EXC-F SIX DAYS,KTM  Dirt Bike,2018
10058,13999,1290 SUPER ADVENTURE,KTM Sport Touring,2016
0,4750,450 SX-F,KTM  Dirt Bike,2016
4916,11500,1190 ADVENTURE R,KTM Dual Sport,2015
5134,6000,690 DUKE,KTM Sportbike,2014
2118,4400,450 XCF-W,KTM Dirt Bike,2008
7613,6990,990 ADVENTURE,KTM Dual Sport,2007
1,9199,350 SX-F,KTM Mx,2023
0,8899,450 SX-F,KTM Mx,2023
0,9899,500 EXC-F,KTM  Dirt Bike,2023
0,7399,390 ADVENTURE,KTM Dirt Bike,2023
0,12549,500 EXC-F,KTM Standard,2023
0,9799,150 XC-W,KTM Dirt Bike,2023
1,9299,250 XC,KTM Dirt Bike,2023
0,8299,250 XC-F,KTM Dirt Bike,2023
1,6749,125 XC,KTM Dirt Bike,2023
0,5799,ADVENTURE 390,KTM Standard,2022
0,9999,890 DUKE,KTM Standard,2022
0,12000,300 XC-W TPI,KTM  Dirt Bike,2022
12,9390,300 XC TPI,KTM Dirt Bike,2022
0,4294,RC 390,KTM Sportbike,2022
0,5999,125 XC,KTM  Dirt Bike,2022
1,5799,390 ADVENTURE,KTM Standard,2022
1,4799,RC390,KTM Cruiser,2022
1,9999,890 DUKE GP,KTM Sportbike,2022
0,7595,350 XC-F,KTM  Dirt Bike,2020
4971,11500,790 ADVENTURE R,KTM Sport Touring,2022
7146,6200,790 DUKE,KTM Standard,2019
290,16000,SUPER ADVENTURE 1290 R,KTM Dual Sport,2018
2423,7500,500 EXC-F,KTM Dual Sport,2018
2055,12987,1090 ADVENTURE R,KTM Standard,2018
1581,10800,1090 ADVENTURE R,KTM Dual Sport,2017
137,8500,350 EXC-F,KTM Dual Sport,2012
0,12999,690 ENDURO R,KTM Standard,2023
0,15199,ADVENTURE 890 R,KTM Standard,2023
0,12295,500 EXC-F SIX DAYS USA 500 SIX DAYS,KTM Dual Sport,2023
0,15199,890 ADVENTURE R,KTM Standard,2023
3,10500,350 EXC-F,KTM Dirt Bike,2023
2,8994,EXC-F 350 350 F,KTM Dirt Bike,2023
3,15199,890 ADVENTURE R,KTM Dirt Bike,2023
0,8500,250 XC-W,KTM Dirt Bike,2023
1,7988,450 SX-F,KTM Dirt Bike,2023
0,12999,SMC 690 R,KTM Dual Sport,2023
0,11049,500 EXC-F,KTM Standard,2023
0,5000,125 SX,KTM Mx,2022
0,13000,350 SX-F,KTM  Dirt Bike,2022
0,8500,250 SX,KTM  Dirt Bike,2022
0,10500,890 DUKE R,KTM Sportbike,2020
0,8850,XC 450 F,KTM  Dirt Bike,2022
669,13999,1290 SUPER DUKE R,KTM Sportbike,2018
571,5000,250 250,KTM Dirt Bike,2021
0,20299,1290 SUPER ADVENTURE R,KTM Standard,2023
0,4199,50 SX,KTM Competition,2023
0,8599,350 XC-F,KTM Dirt Bike,2023
0,8700,450 SX-F,KTM Dirt Bike,2023
0,12049,500 EXC-F SIX DAYS,KTM Standard,2023
1,11299,890 DUKE,KTM Standard,2022
59,7499,250 SX F SX-F,KTM Competition,2022
0,13399,890 ADVENTURE,KTM Sportbike,2022
1491,20000,SUPER DUKE 1290 R EVO,KTM Super Moto,2022
249,10000,500 EXC-F,KTM Dual Sport,2020
6400,4500,RC 390,KTM Sportbike,2017
1864,7700,300 XC-W SIX DAYS,KTM Dirt Bike,2017
0,5500,450 SX-F FACTORY EDITION,KTM  Dirt Bike,2015
551,10999,1190 ADVENTURE,KTM  Sportbike,2015
0,15199,890 ADVENTURE R,KTM Sportbike,2022
0,11395,500 EXC-F,KTM Dirt Bike,2023
1,7700,250 SX-F,KTM Dirt Bike,2023
0,9999,450 SX-F,KTM Dirt Bike,2023
0,12999,690 SMC R ENDURO R,KTM Sportbike,2022
3,12999,690 SMC R ENDURO R,KTM Sportbike,2022
6,12949,890 DUKE R,KTM Sportbike,2022
1,8588,450 XC-F,KTM Dirt Bike,2023
9,7399,390 ADVENTURE,KTM Dirt Bike,2023
3,12949,890 DUKE R,KTM Sportbike,2022
0,7399,390 ADVENTURE,KTM Dual Sport,2023
0,13549,500 EXC-F SIX DAYS,KTM Dirt Bike,2023
0,7399,390 ADVENTURE,KTM Dirt Bike,2023
1,10999,500 EXC-F,KTM Dirt Bike,2023
0,8499,350 SX-F,KTM Dirt Bike,2023
1,11399,350 XC-F,KTM Dirt Bike,2023
0,12999,690 ENDURO R,KTM Dirt Bike,2023
0,12949,890 DUKE R,KTM Standard,2023
1,8499,250 SX-F,KTM Dirt Bike,2023
0,5899,RC 390,KTM Standard,2023
1,7399,390 ADVENTURE,KTM Dirt Bike,2023
0,12949,890 DUKE R,KTM Sportbike,2022
3,13949,890 ADVENTURE,KTM Dirt Bike,2023
0,20299,1290 SUPER ADVENTURE R,KTM Dirt Bike,2023
1,19599,1290SPRDKEREVO SUPER ADVENTURE S,KTM Standard,2022
0,37999,RC 8C,KTM Sportbike,2022
1,5999,390 DUKE,KTM Sportbike,2022
901,5250,390 DUKE,KTM Sportbike,2022
0,5799,RC390,KTM Sportbike,2022
0,4498,RC 390,KTM Sportbike,2022
0,7599,450 SX-F,KTM  Dirt Bike,2022
1,5799,RC 390,KTM Sportbike,2022
0,4299,65 SX,KTM  Dirt Bike,2022
0,11299,890 DUKE,KTM Sportbike,2022
3,12288,890 ADVENTURE,KTM Sportbike,2022
0,6183,390 ADVENTURE,KTM Sportbike,2022
1,4799,RC 390,KTM Sportbike,2022
20,7999,350 SX-F,KTM  Mx,2021
0,3999,65 SX,KTM  Dirt Bike,2022
559,8500,300 XC-W TPI,KTM Dirt Bike,2019
994,7800,300 XC-W TPI,KTM Dirt Bike,2019
3790,12500,1290 SUPER ADVENTURE R,KTM Sportbike,2018
2752,4797,RC 390 ABS,KTM Sportbike,2017
8600,9995,1290 SUPER DUKE R,KTM Sport Touring,2016
1302,7499,SUPER DUKE 990,KTM  Sportbike,2008
0,12149,350 EXC-F,KTM Standard,2023
0,7795,FREERIDE E-XC,KTM Dirt Bike,2023
0,9199,790 DUKE,KTM Sportbike,2022
434,10299,350 EXC-F,KTM Standard,2022
2026,16500,1290 SUPER DUKE R,KTM Sportbike,2020
0,3900,SX-E,KTM  Dirt Bike,2020
2162,17900,1290 SUPER ADVENTURE R,KTM Dual Sport,2020
0,8000,300 XC-W TPI,KTM  Dirt Bike,2019
86,3999,65 SX,KTM Mx,2018
6855,10500,1290 SUPER DUKE R,KTM Sportbike,2014
30137,5850,990 ADVENTURE LC8,KTM Sport Touring,2007
0,8899,450 SX-F,KTM Dirt Bike,2023
1,7999,FREERIDE E-XC,KTM Dirt Bike,2023
0,9899,350 XC-F,KTM Dirt Bike,2023
0,8999,FREERIDE E-XC,KTM Dirt Bike,2023
0,12899,890 ADVENTURE,KTM Standard,2022
2,4099,DUKE 200,KTM Custom,2022
6,10500,250 XC-W TPI,KTM Dirt Bike,2022
6,9000,300 XC TPI,KTM Dirt Bike,2022
559,9950,500 EXC-F,KTM Dual Sport,2021
3405,3799,390 DUKE,KTM  Standard,2015
1,12999,690 SMC R ENDURO R,KTM Standard,2023
0,9995,890 DUKE GP,KTM Sportbike,2022
0,10999,890 DUKE,KTM Sportbike,2022
573,8580,500 EXC-F,KTM Standard,2019
2983,12000,950 SUPER ENDURO R,KTM Dual Sport,2007
1,12999,690 ENDURO R,KTM Standard,2023
0,13549,500 EXC-F,KTM Standard,2023
0,12549,500 EXC-F,KTM Standard,2023
1,10999,500 EXC-F,KTM Dirt Bike,2023
1,12949,890 DUKE R,KTM Sportbike,2022
0,6500,SX 450 F,KTM Mx,2019
0,12999,690 SMC R ENDURO R,KTM Sportbike,2022
0,9999,500 EXC-F,KTM Dirt Bike,2023
0,11099,300 XC-W,KTM Dirt Bike,2023
1,5699,85SX 17/14 85 17 14,KTM Custom,2022
0,6999,125 XC,KTM  Dirt Bike,2022
0,4999,RC 390,KTM Sportbike,2022
0,6994,125 XC,KTM Dirt Bike,2023
0,4999,RC 390,KTM Sportbike,2022
0,8668,350 XC-F,KTM Dirt Bike,2023
0,12649,300 XC-W ERZBERGRODEO 300 W ERZBERGRODEO,KTM Mx,2023
0,4699,65 SX,KTM Mx,2023
0,15199,890 ADVENTURE R,KTM Dual Sport,2023
0,3799,SX 50 - ORANGE / WHITE,KTM  Dirt Bike,2021
1126,6397,390 ADVENTURE,KTM Sport Touring,2020
0,7299,350 SX-F,KTM  Dirt Bike,2018
2132,15999,1290 SUPER DUKE GT,KTM Sport Touring,2017
0,9993,450 SX-F,KTM  Dirt Bike,2019
12088,8999,990 ADVENTURE,KTM Dual Sport,2007
618,4995,RC 390,KTM Sportbike,2017
12302,8997,1290 SUPER ADVENTURE,KTM Sport Touring,2015
13037,15499,1290 SUPER DUKE R,KTM Sportbike,2019
27379,9995,1290 SUPER ADVENTURE,KTM  Standard,2015
0,9499,300 XC TPI,KTM Dirt Bike,2022
2997,12495,790 ADVENTURE R,KTM Sport Touring,2019
0,3497,85 SX 17/14,KTM  Dirt Bike,2021
0,7999,300 XC,KTM  Dual Sport,2017
5100,18499,1290 SUPER DUKE R,KTM Sportbike,2020
1325,11499,790 ADVENTURE,KTM Sport Touring,2019
1505,8999,350 EXC-F,KTM Dual Sport,2017
2943,6999,450 XC-F,KTM Dirt Bike,2009
0,9990,350 XCF-W,KTM  Dirt Bike,2022
6367,11985,890 ADVENTURE,KTM Sport Touring,2021
2912,9697,790 DUKE,KTM Sportbike,2020
2718,16499,SUPER DUKE 1290 R CARBON 1290 R ABS,KTM Trike,2019
4360,5295,RC 390,KTM Sportbike,2017
2124,6999,EXC 450,KTM Dual Sport,2008
0,9199,250 XC TPI XC-W TPI,KTM Dirt Bike,2022
0,8788,250 EXC-F,KTM  Dirt Bike,2019
1283,7499,300 XC-W,KTM Dirt Bike,2018
12864,13999,1290 SUPER DUKE GT W/ABS 1290 GT,KTM Sport Touring,2017
14312,12999,1290 SUPER ADVENTURE W/ABS,KTM Sport Touring,2015
0,8597,250 SX-F,KTM Mx,2023
0,8999,350 XC-F,KTM  Dirt Bike,2022
0,5100,250 XC-F,KTM  Dirt Bike,2015
6477,8999,1190 ADVENTURE,KTM Dual Sport,2024
0,9999,250 SX-F,KTM Dirt Bike,2023
0,11099,300 XC,KTM Dirt Bike,2023
1,15199,890 ADVENTURE R WHITE 890 R,KTM Dirt Bike,2023
1,13949,890 ADVENTURE,KTM Dirt Bike,2023
0,20299,1290 SUPER ADVENTURE S,KTM Dirt Bike,2023
1,15199,890 ADVENTURE R,KTM Dirt Bike,2023
0,12997,890 ADVENTURE,KTM Standard,2023
3,19599,1290 SUPER DUKE R EVO,KTM Sportbike,2022
1,19599,1290 SUPER DUKE R EVO,KTM Sportbike,2022
56,8999,300 XC-W TPI ERZBERGRODEO,KTM Dirt Bike,2022
564,15399,1290 SUPER ADVENTURE S,KTM Dual Sport,2020
596,17497,790 ADVENTURE R,KTM Standard,2020
7996,14999,1290 SUPER DUKE GT,KTM Sportbike,2019
8538,12499,1290 SUPER ADVENTURE R,KTM Dual Sport,2018
0,7999,350 SX-F,KTM  Dirt Bike,2018
15879,12999,1290 SUPER DUKE GT,KTM Sport Touring,2016
3677,9499,1190 ADVENTURE,KTM Sport Touring,2015
5861,12495,1290 SUPER ADVENTURE,KTM  Standard,2015
0,11099,300 XC,KTM Dirt Bike,2023
0,8249,125 XC,KTM Dirt Bike,2023
3,20299,1290 SUPER ADVENTURE S,KTM Dirt Bike,2023
0,5499,65 SX,KTM Dirt Bike,2023
0,12099,450 SX-F FACTORY EDITION,KTM Dirt Bike,2023
0,12649,300 XC-W ERZBERGRODEO 300 W ERZBERGRODEO,KTM Dirt Bike,2023
0,8599,300 XC-W,KTM Dirt Bike,2023
0,7597,250 SX,KTM Mx,2023
0,9997,350 XC-F,KTM Dirt Bike,2023
0,6797,125 SX,KTM Mx,2023
1538,9695,790 DUKE,KTM Standard,2020
1095,5499,390 ADVENTURE,KTM Standard,2020
0,7499,250 XC TPI XC-W TPI,KTM  Dirt Bike,2020
7619,10995,ADVENTURE 1090 R ADVENTURE R,KTM Dual Sport,2019
0,6999,450 SX-F,KTM  Dirt Bike,2019
53,4995,65 SX,KTM Mx,2018
6634,7950,690 DUKE,KTM Dual Sport,2017
13492,11595,1290 SUPER DUKE GT,KTM Sport Touring,2016
0,8949,250 SX,KTM Dirt Bike,2023
1,20399,SUPER DUKE 1290 R EVO,KTM Sportbike,2022
0,8399,450 SX-F,KTM Dirt Bike,2023
0,9649,450 XCF-W,KTM Dirt Bike,2023
0,50000,RC 8C,KTM Sportbike,2022
0,11899,890 DUKE GP,KTM Sportbike,2022
0,5799,RC 390,KTM Sportbike,2022
0,9449,450 SX-F,KTM Standard,2021
0,7920,450 SX-F FACTORY EDITION,KTM  Dirt Bike,2021
0,8790,450 SX-F,KTM  Dirt Bike,2021
685,9995,790 DUKE,KTM Standard,2020
1488,16595,SUPER DUKE 1290 R,KTM Sportbike,2020
81,6907,350 XC-F,KTM Standard,2019
2098,9999,790 DUKE,KTM Standard,2019
0,8199,450 XC-F,KTM Standard,2019
0,6999,450 SX-F,KTM Standard,2019
0,7999,SX 350 F SX-F,KTM  Dirt Bike,2019
1819,8998,790 DUKE,KTM Standard,2019
0,7599,300 XC-W TPI SIX DAYS XC-W SIX DAYS,KTM  Dirt Bike,2021
0,4980,250 SX,KTM Mx,2018
2759,13374,1290 SUPER DUKE R,KTM Sportbike,2018
61,5998,RC 390,KTM Sportbike,2017
