Mileage_km,Price_$,Bike ,Type_of_Bike,Used_Time
13028," 7,000 ",SCRAMBLER® ICON,Ducati Standard,2016
3256," 15,500 ",MULTISTRADA 1200 PIKES PEAK,Ducati Dual Sport,2016
15913," 8,490 ",DIAVEL CROMO,Ducati Cruiser,2013
23488," 12,595 ",HYPERMOTARD 1100 EVO SP,Ducati Super Moto,2012
29934," 9,800 ",1198,Ducati Sportbike,2010
251," 32,250 ",MH900 E,Ducati Sportbike,2002
5," 21,495 ",XDIAVEL DARK,Ducati Cruiser,2023
3," 15,595 ",MONSTER SP,Ducati Sportbike,2023
10," 13,999 ",SCRAMBLER URBAN MOTARD,Ducati Standard,2022
1601," 11,300 ",SCRAMBLER DESERT SLED,Ducati Dual Sport,2022
4506," 22,250 ",STREETFIGHTER V4 S,Ducati Sportbike,2022
1910," 17,495 ",STREETFIGHTER V4,Ducati Sportbike,2021
1609," 16,250 ",SUPERBIKE PANIGALE V2,Ducati Sportbike,2021
11961," 10,500 ",MONSTER 821,Ducati Sportbike,2020
13518," 12,995 ",MULTISTRADA 1200 S TOURING,Ducati Sport Touring,2017
57293," 9,000 ",MULTISTRADA 1200 S,Ducati Sport Touring,2015
2124," 20,999 ",1199 PANIGALE R,Ducati Sportbike,2013
12212," 20,000 ",PANIGALE 1199 R,Ducati Sportbike,2013
4748," 4,350 ",MONSTER 695,Ducati Cruiser,2008
3943," 24,300 ",1098S TRICOLORE,Ducati Sportbike,2007
5," 17,095 ",DESERTX,Ducati Standard,2023
6," 17,995 ",STREETFIGHTER V2,Ducati Sportbike,2023
2173," 32,000 ",STREETFIGHTER V4 SP,Ducati Sportbike,2022
483," 21,925 ",PANIGALE V4,Ducati Sportbike,2022
5564," 15,250 ",SUPERSPORT 950 S,Ducati Sport Touring,2021
6116," 10,000 ",MONSTER + 937,Ducati Standard,2021
10783," 21,900 ",DIAVEL 1260 S,Ducati Sportbike,2021
761," 39,900 ",PANIGALE V4 R,Ducati Sportbike,2020
3042," 19,999 ",PANIGALE V4 S,Ducati Sportbike,2020
2939," 18,500 ",XDIAVEL S,Ducati Cruiser,2019
10401," 8,999 ",SCRAMBLER 1100 SPECIAL,Ducati Sportbike,2018
1228," 14,999 ",HYPERMOTARD 939 SP,Ducati Super Moto,2018
2935," 24,500 ",PANIGALE V4 S,Ducati Sportbike,2018
