Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
26779,"15,999",STAR VENTURE WITH TRANSCONTINENTAL OPTION PACKAGE,Yamaha Touring,2018
9656,"13,997",YZF-R6,Yamaha Sportbike,2016
19517,"5,999",STAR XVS 1300,Yamaha Cruiser,2012
51139,"5,999",V STAR 950 TOURER,Yamaha Touring,2012
22798,"4,999",ROAD STAR,Yamaha Cruiser,2015
23448,"3,999",V STAR 650 CUSTOM,Yamaha Cruiser,2000
3,"8,499",YZF-R3 ABS,Yamaha Sportbike,2023
51901,"4,999",ROAD STAR,Yamaha Cruiser,2014
57354,"3,999",V STAR 1100 CLASSIC,Yamaha Cruiser,2004
5192,"8,799",BOLT R-SPEC,Yamaha Sportbike,2010
109794,"8,995",FJR1300A 1300 A,Yamaha Sportbike,2015
2,"11,499",MT-09 SP,Yamaha Sportbike,2023
245,"9,290",YZF-R7,Yamaha Sportbike,2022
26913,"10,900",YZF-R6,Yamaha Sportbike,2016
12553,"10,999",YZF-R6,Yamaha Sportbike,2016
44886,"5,495",V STAR 950 TOURER,Yamaha Touring,2014
137947,"2,995",V-STAR 1300,Yamaha Cruiser,2012
21649,"3,999",V STAR 650 CLASSIC,Yamaha Cruiser,2007
32230,"3,999",V STAR 1100 CLASSIC,Yamaha Cruiser,2002
3,"4,999",MT-03,Yamaha Standard,2023
2,"14,999",TRACER 9 GT,Yamaha Touring,2022
28333,"18,999",XV1900 STAR VENTURE 1900 TC PACKAGE W/ABS BASE,Yamaha Touring,2018
4488,"6,999",BOLT,Yamaha Cruiser,2017
64612,"10,499",FJR1300A 1300 A,Yamaha Sport Touring,2015
59166,"5,999",V STAR 950 TOURER,Yamaha Touring,2014
9400,"6,799",ROAD STAR SILVERADO,Yamaha Trike,2013
3,"14,999",TRACER 9 GT,Yamaha Sport Touring,2022
6421,"9,010",TRACER 900 GT,Yamaha Sport Touring,2019
3,"14,199",MT-10,Yamaha Standard,2023
2,"2,299",TT-R110E,Yamaha Dirt Bike,2023
2,"1,749",TT-R50E CA,Yamaha Dirt Bike,2022
2,"4,799",MT-03,Yamaha Standard,2022
2,"7,899",MT-07,Yamaha Standard,2022
2,"16,299",SUPER TENERE ES,Yamaha Dual Sport,2023
2,"13,599",TRACER 9 GT,Yamaha Touring,2022
60352,"7,999",FJ09 900 W/ABS,Yamaha Sport Touring,2015
41816,"8,199",ROYAL STAR VENTURE S,Yamaha Touring,2011
69005,"7,990",FJR 1300A 1300 A,Yamaha Sport Touring,2010
50368,"2,900",V STAR 650 CLASSIC,Yamaha Cruiser,2009
34039,"6,990",ROAD STAR SILVERADO,Yamaha Cruiser,2017
59224,"5,180",ROYAL STAR TOUR DELUXE,Yamaha Touring,2017
4007,"3,999",XF50Y C3,Yamaha Moped,2017
25317,"4,950",ROYAL STAR TOUR DELUXE,Yamaha Touring,2015
72923,"2,995",V-STAR 1100 CLASSIC,Yamaha Trike,2003
2,"9,199",YZF-R7,Yamaha Sportbike,2023
3,"3,399",TT-R125LE,Yamaha Dirt Bike,2023
2,"5,499",YZF-R3 ABS,Yamaha Sportbike,2023
2,"5,499",YZF-R3 ABS,Yamaha Sportbike,2023
2,"5,499",YZF-R3,Yamaha Sportbike,2023
2,"6,449",YZF-R3,Yamaha Sportbike,2023
3,"9,199",YZF-R7,Yamaha Sportbike,2023
2,"14,199",MT-10,Yamaha Sportbike,2023
10301,"16,499",STAR ELUDER,Yamaha Touring,2018
39851,"7,499",XVS950 VSTAR 950 TOURER,Yamaha Touring,2015
15289,"6,990",STRYKER,Yamaha Cruiser,2011
3,"1,699",PW50,Yamaha Dirt Bike,2023
3,"1,749",TT-R50E,Yamaha Dirt Bike,2023
3,"1,749",TT-R50EP,Yamaha Dirt Bike,2023
2,"4,999",MT-03,Yamaha Sportbike,2023
2,"4,799",MT-03,Yamaha Sportbike,2022
3,"1,749",TT-R50E,Yamaha Dirt Bike,2022
3257,"18,490",STAR ELUDER GT OPTION PACKAGE,Yamaha Touring,2018
26578,"9,999",ROYAL STAR VENTURE S,Yamaha Touring,2013
27494,"9,995",YZF R1 - RAVEN CANDY RED R1 LE,Yamaha Sportbike,2019
35803,"5,900",ROYAL STAR TOUR DELUXE,Yamaha Touring,2018
24097,"8,990",STRATOLINER® S,Yamaha Cruiser,2017
56749,"4,950",ROYAL STAR TOUR DELUXE,Yamaha Touring,2015
4017,"2,995",YG1,Yamaha Classic / Vintage,1964
