Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
5,"5,099",SCRAM 411 BASE,Royal Enfield Standard,2023
5,"4,599",METEOR 350 STELLAR BLACK,Royal Enfield Standard,2023
3,"5,099",SCRAM 411 WHITE FLAME,Royal Enfield Standard,2023
5,"5,099",SCRAM 411 SILVER SPIRIT,Royal Enfield Standard,2023
8,"4,799",CLASSIC,Royal Enfield Standard,2023
8,"5,449",HIMALAYAN,Royal Enfield Standard,2023
3,"6,649",CONTINENTAL GT 650 DUX DELUXE BASE,Royal Enfield Standard,2023
3,"6,149",INT650 ORANGE CRUSH,Royal Enfield Standard,2023
8,"5,099",SCRAM 411 GRAPHITE BLUE,Royal Enfield Standard,2023
5,"5,099",SCRAM 411 GRAPHITE RED,Royal Enfield Standard,2023
16,"5,099",SCRAM 411 WHITE FLAME,Royal Enfield Standard,2023
16,"5,449",HIMALAYAN ROCK RED,Royal Enfield Standard,2023
16,"5,099",SCRAM 411 GRAPHITE BLUE,Royal Enfield Standard,2023
2,"5,099",SCRAM 411 SILVER SPIRIT,Royal Enfield Standard,2023
5,"4,530",HIMALAYAN BASE,Royal Enfield Dual Sport,2022
16,"4,599",CLASSIC 350,Royal Enfield Standard,2022
2,"5,299",HIMALAYAN,Royal Enfield Standard,2022
10,"4,995",INT650 VENTURA BLUE,Royal Enfield Standard,2022
8,"6,349",BAKER EXPRESS,Royal Enfield Standard,2022
10,"6,199",CONTINENTAL GT 650,Royal Enfield Standard,2022
3,"3,995",CLASSIC 350 SIGNALS DESERT SAND,Royal Enfield Standard,2022
8,"6,499",CONTINENTAL GT 650,Royal Enfield Standard,2022
2,"5,299",HIMALAYAN PINE GREEN,Royal Enfield Dual Sport,2022
8,"5,299",HIMALAYAN,Royal Enfield Dual Sport,2022
2,"5,999",INT650 ORANGE CRUSH,Royal Enfield Standard,2022
5,"6,499",CONTINENTAL GT VENTURA STORM,Royal Enfield Standard,2022
3833,"4,999",HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2022
8,"4,599",CLASSIC 350,Royal Enfield Standard,2022
34,"6,499",CONTINENTAL GT 650,Royal Enfield Standard,2022
16,"5,899",INTERCEPTOR 650,Royal Enfield Standard,2022
11254,"5,495",CONTINENTAL GT MISTER CLEAN,Royal Enfield Standard,2020
3,"5,099",SCRAMBLER SCRAM411,Royal Enfield Standard,2023
8,"5,099",SCRAM 411,Royal Enfield Standard,2023
5,"5,099",SCRAM 411 BASE,Royal Enfield Standard,2023
5,"5,099",SCRAM 411 BASE,Royal Enfield Standard,2023
5,"4,699",METEOR 350 BASE,Royal Enfield Cruiser,2023
5,"5,099",SCRAM 411 BASE,Royal Enfield Standard,2023
8,"5,099",SCRAM 411 GRAPHITE YELLOW,Royal Enfield Standard,2023
3,"4,995",SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
11,"4,699",METEOR 350,Royal Enfield Cruiser,2023
2,"5,549",SCRAM 411,Royal Enfield Dual Sport,2023
8,"4,799",CLASSIC 350,Royal Enfield Standard,2023
8,"6,149",INTERCEPTOR 650,Royal Enfield Standard,2023
8,"4,799",METEOR 350,Royal Enfield Dual Sport,2023
2,"4,899",METEOR 350 SUPERNOVA BROWN,Royal Enfield Standard,2023
16,"5,849",CONTINENTAL GT 650 ROCKER RED,Royal Enfield Standard,2023
8,"6,149",INT650 ORANGE CRUSH,Royal Enfield Standard,2023
1207,"4,995",SCRAM 411 WHITE FLAME,Royal Enfield Standard,2023
