Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
52786," 6,250 ",R 1200 RT,Sport Touring,2007
193121," 8,750 ",R 90 /6,BMW Cruiser/Vintage,1976
2334," 37,999 ",M 1000 RR,BMW Sportbike,2022
377," 25,000 ",R 1000 RR,BMW Sportbike,2022
217," 16,995 ",R 18 B 719 GALAXY DUST METALLIC/TITAN SILVER 2 METALLIC,BMW Cruiser,2022
338," 26,240 ",R 18 B,BMW Cruiser,2022
13," 25,590 ",R 18 B,BMW Cruiser,2022
475," 13,495 ",R 18,BMW Cruiser,2022
1878," 12,000 ",F 750 GS STYLE SPORT,Dual Sport,2022
4023," 23,790 ",R 1250,BMW Touring,2022
1049," 21,000 ",S 1000 RR,BMW Sportbike,2022
1234," 14,999 ",R 18 CLASSIC FIRST EDITION,BMW Cruiser,2021
14912," 10,995 ",R 18 FIRST EDITION,BMW Cruiser,2021
5287," 22,995 ",R 1250 GS ADVENTURE ICE GREY,Dual Sport,2021
14082," 24,000 ",K 1600 GTL,BMW Standard,2020
9302," 15,300 ",S 1000 XR,Sport Touring,2020
9666," 18,500 ",R 1250 R,BMW Standard,2020
45591," 17,995 ",K 1600 GT,BMW Touring,2019
21255," 22,000 ",R 1250,Dual Sport,2019
20942," 19,000 ",R 1250 GS,Sport Touring,2019
88895," 12,995 ",R 1200 RT,BMW Touring,2018
59016," 8,795 ",S 1000 XR WHITE/RACING BLUE/RED PREMIUM,Dual Sport,2018
8369," 13,000 ",S 1000 RR,BMW Sportbike,2016
6392," 10,500 ",S 1000 R,BMW Sportbike,2016
11080," 15,000 ",S 1000 RR,BMW Sportbike,2016
77329," 10,000 ",S 1000 XR,Sport Touring,2016
31141," 10,900 ",S 1000 XR,Sport Touring,2016
93342," 9,800 ",R 1200 GS,Dual Sport,2014
75116," 7,000 ",F 800 GS,Dual Sport,2010
8," 14,400 ",R 75 /5,BMW Cruiser/Vintage,1973
10," 25,330 ",R 1250 GS ADVENTURE,BMW Standard,2023
10," 6,290 ",G 310 GS COSMIC BLACK 3,BMW Dual Sport,2023
16," 15,485 ",R NINET URBAN G/S IMPERIAL BLUE METALLIC URBAN G S,BMW Cruiser,2023
19," 24,315 ",R1250GS ADVENTURE 1250 GS ADVENTURE,BMW Dual Sport,2022
3," 13,995 ",R NINET SCRAMBLER 719 BLACK STORM METALLIC / RACING RED,BMW Cruiser,2022
171," 18,440 ",R 1250 RS IMPERIAL BLUE METALLIC,BMW Sportbike,2022
8208," 21,000 ",R 1250,BMW Touring,2021
4659," 21,500 ",R 1250 1250 R,Sport Touring,2021
10380," 24,700 ",R 1250,Dual Sport,2020
12725," 20,000 ",R 1250 GS HP,BMW Standard,2019
40427," 16,000 ",G,Dual Sport,2017
8336," 9,990 ",R NINET,Sport Touring,2016
16898," 5,950 ",G 650 GS,Dual Sport,2016
25244," 12,950 ",K 1600 GTL,BMW Touring,2013
49219," 6,300 ",F 800 GT,Sport Touring,2013
63366," 10,000 ",K 1600 GTL,Sport Touring,2013
2," 25,700 ",R 1250 GS ADVENTURE LOW,BMW Dual Sport,2023
13," 23,025 ",R 1250 GS,BMW Standard,2023
13," 22,860 ",R 1250 GS,BMW Standard,2023
5," 27,020 ",K 1600 B EXCLUSIVE,BMW Touring,2023
51," 17,288 ",F 850 GS GS TROPHY,Dual Sport,2023
8," 23,700 ",S 1000 RR,BMW Sportbike,2023
2356," 14,390 ",S 1000 R,BMW Standard,2022
9656," 14,900 ",F 850 GSA 850 GS ADVENTURE,Dual Sport,2021
25724," 17,495 ",S 1000 RR MOTORSPORT,BMW Sportbike,2021
18002," 23,999 ",S 1000 RR,BMW Sportbike,2020
2070," 22,950 ",R 1250 GS ADVENTURE,Dual Sport,2019
23492," 16,899 ",R1250GS HP 1250 GS,BMW Sportbike,2019
28968," 15,999 ",R 1200 GS RALLYE,Dual Sport,2017
236096," 8,995 ",R 1200 RT,BMW Touring,2015
40116," 8,750 ",R NINET,BMW Standard,2015
50289," 6,900 ",F 800 GS,Dual Sport,2014
