Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
70913,"9,995",1290 SUPER ADVENTURE,KTM Standard,2015
7763,"12,495",790 ADVENTURE R,Sport Touring,2019
13209,"18,499",1290 SUPER DUKE R,KTM Sportbike,2020
3433,"11,499",790 ADVENTURE,Sport Touring,2019
3898,"8,999",350 EXC-F,Dual Sport,2017
7623,"6,999",450 XC-F,Dirt Bike,2009
16491,"11,985",890 ADVENTURE,Sport Touring,2021
7541,"9,697",790 DUKE,KTM Sportbike,2020
7041,"16,499",SUPER DUKE 1290 R CARBON 1290 R ABS,KTM Trike,2019
11291,"5,295",RC 390,KTM Sportbike,2017
5501,"6,999",EXC 450,Dual Sport,2008
3323,"7,499",300 XC-W,Dirt Bike,2018
33318,"13,999",1290 SUPER DUKE GT W/ABS 1290 GT,Sport Touring,2017
37068,"12,999",1290 SUPER ADVENTURE W/ABS,Sport Touring,2015
16774,"8,999",1190 ADVENTURE,Dual Sport,2014
2,"15,199",890 ADVENTURE R WHITE 890 R,Dirt Bike,2023
2,"13,949",890 ADVENTURE,Dirt Bike,2023
2,"15,199",890 ADVENTURE R,Dirt Bike,2023
8,"19,599",1290 SUPER DUKE R EVO,KTM Sportbike,2022
2,"19,599",1290 SUPER DUKE R EVO,KTM Sportbike,2022
145,"8,999",300 XC-W TPI ERZBERGRODEO,Dirt Bike,2022
1461,"15,399",1290 SUPER ADVENTURE S,Dual Sport,2020
1543,"17,497",790 ADVENTURE R,KTM Standard,2020
20709,"14,999",1290 SUPER DUKE GT,KTM Sportbike,2019
22114,"12,499",1290 SUPER ADVENTURE R,Dual Sport,2018
41127,"12,999",1290 SUPER DUKE GT,Sport Touring,2016
9522,"9,499",1190 ADVENTURE,Sport Touring,2015
15179,"12,495",1290 SUPER ADVENTURE,KTM Standard,2015
8,"20,299",1290 SUPER ADVENTURE S,Dirt Bike,2023
3983,"9,695",790 DUKE,KTM Standard,2020
2836,"5,499",390 ADVENTURE,KTM Standard,2020
19732,"10,995",ADVENTURE 1090 R ADVENTURE R,Dual Sport,2019
137,"4,995",65 SX,KTM Mx,2018
17183,"7,950",690 DUKE,Dual Sport,2017
34945,"11,595",1290 SUPER DUKE GT,Sport Touring,2016
2,"20,399",SUPER DUKE 1290 R EVO,KTM Sportbike,2023
1773,"9,995",790 DUKE,KTM Standard,2020
3853,"16,595",SUPER DUKE 1290 R,KTM Sportbike,2020
209,"6,907",350 XC-F,KTM Standard,2019
5435,"9,999",790 DUKE,KTM Standard,2019
4711,"8,998",790 DUKE,KTM Standard,2019
7145,"13,374",1290 SUPER DUKE R,KTM Sportbike,2018
158,"5,998",RC 390,KTM Sportbike,2017
23583,"11,999",1290 SUPER DUKE GT,Sport Touring,2017
30470,"11,995",SUPER ADVENTURE 1290,KTM Standard,2016
14169,"12,499",1290 SUPER DUKE R ABS 1290 R ABS,Sport Touring,2015
21074,"10,595",1290 SUPER DUKE R,KTM Standard,2014
24251,"5,499",DUKE 690,KTM Sportbike,2013
2,"13,949",ADVENTURE 890,Dual Sport,2023
5,"12,599",890 ADVENTURE,KTM Sportbike,2022
5,"8,995",300 XC-W TPI,Dirt Bike,2021
19607,"14,499",1290 SUPER DUKE R,KTM Sportbike,2020
5478,"17,988",1290 SUPER DUKE R,KTM Standard,2020
10842,"6,190",RC 390,KTM Sportbike,2020
15664,"16,090",1290 SUPER DUKE GT,Sport Touring,2019
27299,"14,798",1290 SUPER ADVENTURE S,Sport Touring,2018
4410,"14,999",1290 SUPER DUKE GT,Sport Touring,2017
43114,"11,988",1090 ADVENTURE R -,Dual Sport,2017
9925,"5,499",390 DUKE,KTM Sportbike,2017
16639,"10,590",1090 ADVENTURE R,KTM Touring,2017
7071,"14,488",1290 SUPER DUKE GT,KTM Standard,2016
8406,"13,488",1290 SUPER DUKE R - 1290 R,KTM Standard,2016
8,"12,999",690 ENDURO R,Dirt Bike,2023
5,"12,949",890 DUKE R,KTM Sportbike,2023
2,"12,999",SMC 690 R,Dual Sport,2023
2,"20,299",SUPER ADVENTURE 1290 S,Dual Sport,2023
2013,"18,999",1290 SUPER ADVENTURE S,KTM Sportbike,2022
1856,"4,249",200 DUKE,KTM Sportbike,2022
16,"10,899",XCF-W 500,Dual Sport,2022
1304,"11,995",790 ADVENTURE,KTM Standard,2020
142,"8,995",450 SX-F FACTORY EDITION,KTM Mx,2020
13992,"15,999",1290 SUPER DUKE R,KTM Sportbike,2019
11125,"16,390",SUPER DUKE 1290 GT,Sport Touring,2019
1399,"16,995",1290 SUPER DUKE R,KTM Sportbike,2018
24835,"10,999",1090 ADVENTURE R,Dual Sport,2018
13906,"11,995",1290 SUPER ADVENTURE,Dual Sport,2015
15934,"9,799",1290 SUPER ADVENTURE,Sport Touring,2015
51470,"11,998",1290 SUPER ADVENTURE,Dual Sport,2015
8,"12,949",890 DUKE R,KTM Sportbike,2023
2,"12,999",690 ENDURO R,Dual Sport,2023
7218,"9,999",890 DUKE GP W/ABS,KTM Sportbike,2022
14,"7,495",250 SX-F,KTM Mx,2021
114,"6,495",125 SX,KTM Mx,2021
21179,"11,999",790 ADVENTURE R,Sport Touring,2020
1609342,"6,995",450 SXF FACTORY EDITION SX-F FACTORY EDITION,KTM Mx,2020
211,"6,495",150 XC-W TPI,Dirt Bike,2020
20580,"11,500",790 ADVENTURE R,Sport Touring,2020
7355,"15,499",1290 SUPERDUKE R W/ABS SUPER ADVENTURE S,KTM Sportbike,2019
4731,"14,995",1290 SUPERDUKE R SUPER ADVENTURE S,KTM Standard,2019
1054,"8,999",500 EXC-F,Dual Sport,2019
43,"6,999",350 XC-F,Dirt Bike,2019
6294,"11,999",790 ADVENTURE R,Sport Touring,2019
80,"4,999",250 SX-F,KTM Mx,2019
24287,"10,595",790 ADVENTURE,KTM Standard,2019
40489,"11,488",1290 SUPER ADVENTURE S,Sport Touring,2018
121,"3,995",65 SX,KTM Mx,2018
23728,"10,950",1290 SUPER DUKE GT,Sport Touring,2017
29765,"10,498",1190 ADVENTURE R,Sport Touring,2015
48187,"8,995",1190 ADVENTURE ABS,Dual Sport,2014
7786,"5,491",690 DUKE,KTM Sportbike,2014
19323,"6,995",990 SM T,KTM Sportbike,2010
5,"13,949",890 ADVENTURE,Dual Sport,2023
5,"8,299",450 SX-F,KTM Competition,2023
16,"16,900",500 EXC-F,Dirt Bike,2023
27,"5,799",RC 390,KTM Standard,2022
16,"13,399",890 ADVENTURE,KTM Standard,2022
2,"9,378",390 ADVENTURE,KTM Sportbike,2022
84,"9,995",250 SX-F FACTORY EDITION,KTM Mx,2022
5,"11,399",450 XC-F,Dirt Bike,2022
2593,"13,591",890 ADVENTURE R,Sport Touring,2021
2,"7,291",250 SX-F,Dirt Bike,2021
11911,"11,390",ADVENTURE 890,Dual Sport,2021
85,"7,795",450 SX-F,KTM Mx,2021
4305,"10,799",690 SMC R ENDURO R,Dirt Bike,2020
1902,"11,799",690 SMC R ENDURO R,KTM Mx,2020
32486,"12,999",1290 SUPER ADVENTURE S,Sport Touring,2020
1070,"9,999",450 EXC-F SIX DAYS,KTM Standard,2019
3809,"14,495",1290 SUPER DUKE R,KTM Sportbike,2019
7752,"9,591",790DUKE,KTM Custom,2019
1081,"8,592",250 EXC-F,Dual Sport,2019
8790,"14,999",1290 SUPER DUKE R,KTM Sportbike,2019
27930,"9,999",790 ADVENTURE,KTM Standard,2019
14930,"18,999",1290 SUPER DUKE GT,KTM Sportbike,2019
179,"7,997",450 SX-F,KTM Mx,2019
116,"6,997",450 SX-F,KTM Mx,2019
28582,"10,999",1090 ADVENTURE R,Sport Touring,2018
42070,"12,999",1290 SUPER DUKE GT,Sport Touring,2016
18945,"11,890",1190 ADVENTURE R,Dual Sport,2016
2,"15,199",890 ADVENTURE R,KTM Standard,2023
2,"7,399",390 ADVENTURE,KTM Standard,2023
2,"20,399",1290 SUPER DUKE R EVO,KTM Standard,2023
79,"9,799",450 XC-F,Dirt Bike,2023
2,"11,099",XC 300 W,Dirt Bike,2023
2,"12,149",350 EXC-F,Dual Sport,2023
8,"7,399",390 ADVENTURE,Dirt Bike,2023
2,"7,399",ADVENTURE 390,Dual Sport,2023
578,"5,999",390 DUKE,KTM Standard,2022
85,"8,899",300 XC,Dirt Bike,2022
37,"10,197",450 SX-F FACTORY EDITION,KTM Competition,2022
5,"10,699",450 SX-F,Dirt Bike,2022
3565,"16,999",1290 SUPER DUKE R EVO,KTM Sportbike,2022
32,"9,999",450 SX-F,KTM Mx,2022
4764,"20,000",1290 SUPER DUKE R,KTM Sportbike,2022
12088,"4,995",390 DUKE,KTM Standard,2020
842,"11,990",790 ADVENTURE,Dual Sport,2020
24623,"14,250",SUPER ADVENTURE 1290 S,Dual Sport,2020
27903,"12,900",1290 SUPER ADVENTURE S,Dual Sport,2019
98,"6,995",SX 350 F SX-F,Dirt Bike,2018
9907,"15,950",1290 SUPER ADVENTURE R,Sport Touring,2018
17017,"5,500",RC 390,KTM Standard,2017
1749,"4,599",300 XC,Dirt Bike,2017
14565,"14,880",1290 SUPER DUKE GT,Sport Touring,2017
14153,"9,021",1190 ADVENTURE,Dual Sport,2015
44178,"10,799",1190 ADVENTURE,KTM Standard,2015
20268,"9,999",1290 SUPER DUKE R,KTM Sportbike,2015
28611,"9,999",1290 SUPER ADVENTURE,Sport Touring,2015
16544,"10,495",SUPER DUKE R 1290 ABS 1290 R ABS,KTM Sportbike,2015
69202,"8,499",1190 ADVENTURE R ABS,KTM Standard,2014
2,"19,799",SUPER DUKE 1290 GT,KTM Sportbike,2023
